year,value,subseries_id,source_id,units,month
1857,5.9,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,1
1857,6.8,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,2
1857,5.8,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,3
1857,4.5,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,4
1857,4.4,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,5
1857,1.7,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,6
1857,-0.3,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,7
1857,0.5,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,8
1857,-2.7,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,9
1857,-10.1,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,10
1857,-12.0,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,11
1857,-10.7,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,12
1858,-13.0,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,1
1858,-11.7,S204-A,AYRES_1939_T9_APP_A,percent_deviation_from_trend,2
